0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
0610005C13Rik	3.06819	10.3831	6.62827	2.50752	4.62737	7.65421	25.8672	6.31613	5.69883	2.73537	3.21256	22.3735	3.39089	2.42786	2.97369	0.688017	16.6858	44.8642	41.6888	0.253155
0610007C21Rik	81.1367	84.8989	74.048	80.8799	89.7252	85.2766	93.9564	76.9027	77.5187	82.7644	77.0223	81.9006	78.2276	82.0935	80.1872	91.5591	84.1152	97.8637	88.2709	84.643
0610007L01Rik	36.2092	33.5185	35.975	31.3093	30.2593	29.5187	30.5473	32.0002	31.1582	33.0775	34.4633	32.1811	33.1387	35.7019	36.8245	35.0997	30.9169	26.3818	26.5679	39.0495
0610007P08Rik	5.64367	5.51031	6.05805	6.08128	6.09595	5.6262	5.38401	5.97775	6.22362	6.24562	6.13195	5.58174	5.95333	5.80734	5.80713	5.30222	5.61035	6.22598	5.95424	5.63981
0610007P14Rik	17.4777	18.5184	15.2416	16.5948	16.5386	15.6833	20.005	19.7466	17.6103	16.204	14.9103	19.0644	16.0159	16.9049	15.9452	13.4472	18.2387	21.2214	20.7846	16.5003
0610007P22Rik	15.2373	16.7614	15.9388	15.6716	14.7007	15.2907	16.0568	14.721	14.6552	15.5769	16.4274	16.6674	14.3158	13.9364	14.2839	18.0217	15.272	14.2872	16.2789	16.3668
0610008F07Rik	0.0810285	0.458441	0.5423	0	0.404758	0.153065	0.786885	0.18893	0.347804	0.176105	0.28537	1.47006	0.294091	0.266235	0.0651874	0.0688999	0.856537	3.13376	2.99278	0
0610009B14Rik	0.430822	1.04447	0.720552	0.113091	0.358695	0.949438	0.633477	0.891342	0.55414	0.15603	0.0505215	0.325235	0.104086	0.0471322	0.288561	0.0610158	0.271004	1.08986	0.827668	0
0610009B22Rik	19.1375	25.5952	21.2555	16.3028	16.5986	18.8978	30.5019	21.3212	20.9999	18.0571	16.0033	22.5091	15.3593	20.3651	20.1671	20.7939	18	21.8219	25.4575	22.2805
0610009D07Rik	32.7683	33.0695	31.8209	30.3066	35.013	38.1058	36.0747	34.1114	35.2891	35.8791	32.6859	35.6267	32.9744	37.3694	36.7848	36.6787	35.9437	41.0114	37.0273	37.1011
0610009L18Rik	8.09883	8.80749	10.4644	5.64443	6.36512	8.90539	9.76616	9.79668	10.3243	8.15933	8.09179	10.8214	6.31825	9.3945	12.2406	10.878	9.43797	10.6046	9.8813	9.28967
0610009O20Rik	31.3997	32.0824	29.0534	29.398	29.8738	27.5411	32.4609	32.3494	29.9584	30.3676	29.3139	29.2447	28.1634	30.0949	29.8174	29.2084	27.9256	30.8398	30.5011	32.9425
0610010B08Rik	0.0903774	0.0312685	0.0753846	0.0305102	0.0516131	0.0731472	0.0907278	0.0792457	0.0439636	0.0700644	0.0721744	0.0869681	0.0278044	0.0336588	0.0103159	0.0437017	0.0681002	0.0885068	0.0491902	0.0374057
0610010F05Rik	6.65967	5.34195	6.04084	7.23676	6.86847	6.14091	5.43872	5.61199	5.41624	6.18787	6.08327	5.34669	6.05602	5.43328	5.20825	4.51839	5.98132	5.99703	6.01702	5.5445
0610010K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610010K14Rik	39.8394	42.8676	40.9114	42.8045	42.8151	40.1625	42.3728	40.5462	42.3451	39.2971	45.7607	45.2468	43.6206	40.775	39.6162	44.9046	41.9652	39.6098	43.8615	42.4627
0610010O12Rik	85.0437	100.447	90.7355	72.9801	78.053	87.9236	105.882	87.0162	87.5966	81.5091	65.3682	93.2485	82.2748	92.4878	93.7637	97.688	88.3874	107.854	119.58	90.5351
0610011F06Rik	25.8117	48.2476	27.423	22.5319	30.1127	33.763	75.5055	38.6335	32.4518	25.2369	19.1466	50.6705	24.9776	26.7387	25.7621	23.3986	43.1508	75.2651	83.1513	20.9334
0610011L14Rik	13.0437	11.2926	12.8636	12.9709	13.0997	11.7929	12.2503	12.1082	12.7376	12.786	14.0104	13.1958	12.9657	12.6088	12.3554	12.6821	11.7024	11.4566	12.6849	13.0908
0610012G03Rik	20.7223	24.6059	20.9113	16.6238	19.0843	20.094	27.834	21.9227	18.1435	16.6105	16.2683	20.9407	17.5369	18.4451	17.8052	17.174	18.4964	23.3608	27.1379	18.1167
0610012H03Rik	1.3552	4.72759	2.55872	0.456683	2.02701	3.79332	19.7282	2.46137	1.98304	0.846995	1.01631	7.85372	1.77172	1.08465	1.18721	0.667247	9.36279	22.8217	20.5386	0.15058
0610025J13Rik	0.14489	0.292726	0.424089	0.342302	0.144759	0.136846	0.3835	0.281067	0.310631	0.747773	0.203907	0.218781	0.210054	0.142671	0.349389	0.369382	0.382803	0.199941	0.167028	0.370355
0610030E20Rik	10.2448	10.2386	11.1161	9.88089	9.8978	10.2581	9.88648	10.6314	10.592	8.99397	10.5038	9.53923	11.6338	12.1104	11.7279	11.8011	10.4799	10.9454	11.7332	10.7412
0610031J06Rik	67.4064	75.7791	71.8271	74.0243	67.4782	74.2264	80.8997	72.5519	68.6004	68.4222	66.0595	72.8007	70.1225	76.0475	74.6199	72.5105	70.3264	82.0042	81.8666	72.8059
0610037L13Rik	24.462	23.3376	25.1399	23.3609	23.0344	21.1979	21.1406	23.372	23.8547	24.2435	29.211	25.8917	23.1597	24.7183	24.765	26.9588	21.9425	19.7838	19.8228	25.9013
0610037P05Rik	23.9115	22.5031	23.8257	20.9289	22.4304	24.0476	22.8103	22.016	21.913	23.5341	23.7395	21.5477	23.1428	23.0444	23.2193	25.1704	22.3509	20.903	17.9969	25.4951
0610038B21Rik	0.534523	0.630982	0.549413	0.485761	0.410864	0.660097	0.904811	0.412295	0.561984	0.669735	0.37474	0.49441	0.563386	0.69912	0.329457	0.488087	0.651178	0.904732	1.38413	0.448466
0610039K10Rik	0.982873	0.680793	0.645757	1.21631	0.841709	0.861989	0.6193	1.14349	0.902827	0.839037	0.691424	0.688825	0.864808	1.10578	0.959111	0.715808	0.529917	1.01698	0.647245	1.07638
0610040B10Rik	2.28927	1.39045	1.28293	1.80188	1.14292	1.44215	1.01883	2.42307	0.83016	2.38887	1.4974	1.9054	1.55112	0.762325	1.08638	2.77948	1.58977	1.46686	1.49156	0.708292
0610040J01Rik	6.04591	12.7634	4.1421	1.57869	3.80887	7.01251	12.6315	8.90735	5.21549	4.47725	1.65699	6.68395	2.05876	1.52414	3.28828	0.668262	7.5808	15.8692	14.3624	0.405705
0910001L09Rik	55.4855	64.7669	56.1715	52.5785	61.7648	60.5808	63.3623	56.7177	54.0428	59.4516	53.2656	61.5381	54.0429	59.439	57.2369	65.1676	59.5679	61.8835	67.8706	60.0334
100040852	0.145418	0.10836	0.167934	0.123359	0.111794	0.105623	0.19649	0.111533	0.133286	0.145683	0.0703335	0.142289	0.200689	0.0583112	0.13404	0.0757163	0.160139	0.138001	0.136344	0.129601
