Symbol	Predisone_2_29_norm
0610005C13Rik	12.49988488
0610007P14Rik	10.6571965
0610009B22Rik	10.33388053
0610009L18Rik	7.231763829
0610009O20Rik	11.45053219
0610010B08Rik	7.346323593
0610010F05Rik	10.0860398
0610010K14Rik	7.995709294
0610011F06Rik	11.99326011
0610012G03Rik	10.71484672
0610030E20Rik	11.01334031
0610031J06Rik	12.52265855
0610037L13Rik	9.365468642
0610040F04Rik	7.738067274
0610040J01Rik	11.18017933
0610043K17Rik	6.421425048
1100001G20Rik	6.195543641
1110001J03Rik	10.4188091
1110002L01Rik	7.389716188
1110004E09Rik	10.18788194
1110004F10Rik	11.34356773
1110007C09Rik	9.546520268
1110008F13Rik	10.29304017
1110008L16Rik	9.8617225
1110008P14Rik	9.329708879
1110012L19Rik	9.152104379
1110032A03Rik	10.29304017
1110032F04Rik	5.867489443
1110034G24Rik	8.047610211
1110037F02Rik	10.98089913
1110038B12Rik	8.31007731
1110038F14Rik	9.219791187
1110051M20Rik	9.365468642
1110054M08Rik	8.100803151
1110057K04Rik	10.38494513
1110058L19Rik	9.378989782
1110059E24Rik	9.836462547
1110059G10Rik	8.942257211
1110065P20Rik	8.909090347
1190002N15Rik	9.237713095
1190007I07Rik	8.072078645
1200014J11Rik	10.50395981
1300002E11Rik	9.113249069
1300002K09Rik	10.2685505
1300017J02Rik	6.788634022
1500004A13Rik	7.859795051
1500009L16Rik	5.013340309
1500011B03Rik	9.140791719
1500011K16Rik	9.73706688
1500012F01Rik	9.335268404
1500015A07Rik	7.705218014
1600002H07Rik	8.094260305
1600002K03Rik	7.60752134
1600014C10Rik	11.19055344
1600016N20Rik	8.255415097
1600020E01Rik	8.951144562
1700001L05Rik	7.50272515
1700001O22Rik	6.490940747
1700003E16Rik	8.158390642
1700003G13Rik	7.219791187
1700003H04Rik	6.243637929
1700003M02Rik	8.164649633
1700007F19Rik	6.219791187
1700007J10Rik	7.346323593
1700007L15Rik	6.652750594
1700008J07Rik	8.536902265
1700010I14Rik	6.094260305
1700011H14Rik	12.57851564
1700013H16Rik	7.59830281
1700016C15Rik	9.312900591
1700017B05Rik	10.01507328
1700017D01Rik	7.472771928
1700018F24Rik	6.836462547
1700018L02Rik	6.462647711
1700019G17Rik	7.801540553
1700019L03Rik	6.705218014
1700020I14Rik	10.32833382
1700021F05Rik	9.536902265
1700021K19Rik	10.5560623
1700024P16Rik	7.484679169
1700025G04Rik	8.743353143
1700025N23Rik	6.120255513
1700028J19Rik	8.859795051
1700029J07Rik	8.730753106
1700030J22Rik	7.301585278
1700030K09Rik	8.368183027
1700034H15Rik	7.59830281
1700037C18Rik	8.120255513
1700037H04Rik	9.690111122
1700040L02Rik	9.73706688
1700047E10Rik	7.054367578
1700049G17Rik	8.357294711
1700052K11Rik	8.927610435
1700052N19Rik	9.074451824
1700055N04Rik	7.133079554
1700063D05Rik	6.522353957
1700066M21Rik	8.643817469
1700067K01Rik	6.290180515
1700067P10Rik	6.400363432
1700071K01Rik	9.495294945
1700073E17Rik	9.700917877
1700084J12Rik	7.836462547
1700088E04Rik	8.074451824
1700091H14Rik	5.634828686
1700094D03Rik	8.836462547
1700096K18Rik	7.389716188
1700097N02Rik	6.312900591
1700101I11Rik	6.482825593
1700112E06Rik	8.992380691
1700113A16Rik	9.067788093
1700123O12Rik	6.482825593
1700123O20Rik	10.44475755
1810009A15Rik	9.243392535
1810010H24Rik	6.120255513
1810011H11Rik	6.243637929
1810011O10Rik	10.48031874
1810013L24Rik	11.39238538
1810014B01Rik	8.824653245
1810019D21Rik	10.25047643
1810021B22Rik	7.290180515
1810022K09Rik	9.971112074
1810026B05Rik	9.72864236
1810026J23Rik	11.53267414
1810030O07Rik	10.36818303
1810032O08Rik	7.686167307
1810034E14Rik	7.170881586
1810037I17Rik	10.71591261
1810041L15Rik	7.312900591
1810043G02Rik	9.972896484
1810043H04Rik	9.31852514
1810044D09Rik	6.927610435
1810055G02Rik	8.808755618
1810058I24Rik	11.15268875
1810065E05Rik	5.956756781
2010001E11Rik	6.067788093
2010002M12Rik	6.482825593
2010003K11Rik	6.067788093
2010012O05Rik	9.037414444
2010015L04Rik	7.403165995
2010107E04Rik	12.07818669
2010107G12Rik	6.616681339
2010107G23Rik	7.992380691
2010111I01Rik	8.494210996
2010300C02Rik	7.389716188
2010315B03Rik	9.925747964
2010320M18Rik	8.574995437
2200002D01Rik	7.560828105
2210011C24Rik	8.705218014
2210013O21Rik	8.589024997
2210015D19Rik	9.490320129
2210016F16Rik	10.93128609
2210016L21Rik	10.7610169
2210018M11Rik	9.947711641
2210039B01Rik	6.897863092
2210404O09Rik	7.431841664
2210408F21Rik	6.561979912
2210408I21Rik	8.639330078
2300009A05Rik	8.953145527
2310001H17Rik	8.866830972
2310003H01Rik	9.452451944
2310007B03Rik	8.784484218
2310009A05Rik	8.713780028
2310009B15Rik	7.357294711
2310010J17Rik	7.10520571
2310011J03Rik	10.27724146
2310014L17Rik	6.927610435
2310015A10Rik	8.639330078
2310022A10Rik	7.782506533
2310022B05Rik	11.01160526
2310030G06Rik	10.13307955
2310033P09Rik	8.992380691
2310035C23Rik	10.80572047
2310036O22Rik	11.61611054
2310039H08Rik	9.577343191
2310045N01Rik	9.593671361
2310047M10Rik	9.136267831
2310057J18Rik	8.237713095
2310057M21Rik	8.20164384
2310061I04Rik	11.09835306
2310061J03Rik	7.431841664
2310067B10Rik	12.25321419
2410002F23Rik	10.12186477
2410004B18Rik	8.72652852
2410004N09Rik	7.239067807
2410006H16Rik	8.357294711
2410015M20Rik	11.99896334
2410016O06Rik	8.421425048
2410017I17Rik	6.541719282
2410089E03Rik	10.25688051
2410127L17Rik	10.54771802
2410131K14Rik	9.403013011
2500004C02Rik	8.03399978
2510002D24Rik	9.551305331
2510003E04Rik	11.25614799
2510009E07Rik	10.57968713
2510039O18Rik	11.6218084
2510049J12Rik	8.497775934
2610001J05Rik	10.41093267
2610002J02Rik	9.514350412
2610002M06Rik	10.18172315
2610005L07Rik	10.71591261
