Symbol	Predisone_2_23_norm
0610005C13Rik	11.86684832
0610007P14Rik	10.77066389
0610009B22Rik	10.15101654
0610009L18Rik	6.845490051
0610009O20Rik	11.17617315
0610010B08Rik	7.483815777
0610010F05Rik	10.08347933
0610010K14Rik	8.212357386
0610011F06Rik	11.93258387
0610012G03Rik	10.62753388
0610030E20Rik	10.88874325
0610031J06Rik	12.90595104
0610037L13Rik	9.663558104
0610040F04Rik	7.108372929
0610040J01Rik	11.51717725
0610043K17Rik	6.569855608
1100001G20Rik	6.247927513
1110001J03Rik	10.27262978
1110002L01Rik	7.312882955
1110004E09Rik	10.08480839
1110004F10Rik	11.57978733
1110007C09Rik	9.955649908
1110008F13Rik	10.31061278
1110008L16Rik	9.640244936
1110008P14Rik	10.13955135
1110012L19Rik	9.503825738
1110032A03Rik	10.00982862
1110032F04Rik	5.554588852
1110034G24Rik	7.942514505
1110037F02Rik	10.89557528
1110038B12Rik	8.818733436
1110038F14Rik	9.710806434
1110051M20Rik	9.45532722
1110054M08Rik	8.159871337
1110057K04Rik	9.965494739
1110058L19Rik	9.413627929
1110059E24Rik	9.843921051
1110059G10Rik	9.335390355
1110065P20Rik	8.686500527
1190002N15Rik	9.157346935
1190007I07Rik	7.87470037
1200014J11Rik	10.46352437
1300002E11Rik	9.028953567
1300002K09Rik	10.97727992
1300017J02Rik	6.754887502
1500004A13Rik	7.700439718
1500009L16Rik	6.087462841
1500011B03Rik	9.258573244
1500011K16Rik	9.581200582
1500012F01Rik	10.15101654
1500015A07Rik	7.636624621
1600002H07Rik	8.087462841
1600002K03Rik	7.930737338
1600014C10Rik	11.23600812
1600016N20Rik	8.339850003
1600020E01Rik	8.379378367
1700001L05Rik	7.562242424
1700001O22Rik	6.669457969
1700003E16Rik	7.62935662
1700003G13Rik	6.475733431
1700003H04Rik	6.554588852
1700003M02Rik	8.06608919
1700007F19Rik	5.727920455
1700007J10Rik	6.741466986
1700007L15Rik	6.209453366
1700008J07Rik	8.400879436
1700010I14Rik	6.741466986
1700011H14Rik	12.56819365
